Name,Elo
Aiemann Zahabi,{'elo': 1406.961118691081, 'winStreak': 5}
Bryce Mitchell,{'elo': 1406.4737909708374, 'winStreak': 1}
Muslim Salikhov,{'elo': 1405.3543940754548, 'winStreak': 2}
Marcin Tybura,{'elo': 1405.2641545842596, 'winStreak': 1}
Fabrício Werdum,{'elo': 1404.969203999357, 'winStreak': 1}
Azamat Murzakanov,{'elo': 1404.3068101859285, 'winStreak': 4}
Said Nurmagomedov,{'elo': 1403.0250391039197, 'winStreak': 1}
Robbie Lawler,{'elo': 1402.3104872291776, 'winStreak': 1}
Gunnar Nelson,{'elo': 1401.9615056320094, 'winStreak': 2}
Steve Garcia,{'elo': 1401.042591862474, 'winStreak': 5}
Dong Hyun Kim,{'elo': 1400.9737955871483, 'winStreak': 0}
Alistair Overeem,{'elo': 1400.5473178042712, 'winStreak': 0}
Anthony Rocco Martin,{'elo': 1396.8803551157114, 'winStreak': 0}
Ľudovít Klein,{'elo': 1396.6759470505674, 'winStreak': 4}
Khalil Rountree Jr.,{'elo': 1396.6304579795628, 'winStreak': 0}
Carlos Diego Ferreira,{'elo': 1395.8575715303052, 'winStreak': 0}
Jonathan Martinez,{'elo': 1395.4236287269757, 'winStreak': 0}
Dominick Cruz,{'elo': 1395.2136006898932, 'winStreak': 0}
Kelvin Gastelum,{'elo': 1395.1323461123359, 'winStreak': 1}
Serghei Spivac,{'elo': 1393.5644913202086, 'winStreak': 0}
Gregory Rodrigues,{'elo': 1392.4405446946098, 'winStreak': 3}
Mairbek Taisumov,{'elo': 1392.1322828444581, 'winStreak': 0}
Corey Anderson,{'elo': 1391.8135650860067, 'winStreak': 0}
Kyoji Horiguchi,{'elo': 1389.2289210070119, 'winStreak': 3}
Frank Shamrock,{'elo': 1389.2154091498344, 'winStreak': 5}
Edson Barboza,{'elo': 1388.0732782758391, 'winStreak': 0}
Drakkar Klose,{'elo': 1387.107390651321, 'winStreak': 0}
Randy Couture,{'elo': 1386.2478790063758, 'winStreak': 0}
Tim Sylvia,{'elo': 1386.164089476741, 'winStreak': 0}
Jamahal Hill,{'elo': 1385.7541271043788, 'winStreak': 0}
Rick Story,{'elo': 1385.6375943561925, 'winStreak': 0}
Tatsuro Taira,{'elo': 1385.516859769623, 'winStreak': 0}
Santiago Ponzinibbio,{'elo': 1385.4983994559386, 'winStreak': 1}
Cris Cyborg,{'elo': 1383.6380945553667, 'winStreak': 1}
Zak Cummings,{'elo': 1383.438291172321, 'winStreak': 2}
Josh Barnett,{'elo': 1381.2019328549393, 'winStreak': 1}
Farès Ziam,{'elo': 1380.9382250793792, 'winStreak': 4}
Matt Hughes,{'elo': 1380.5101598142173, 'winStreak': 0}
Jim Miller,{'elo': 1380.3582644392204, 'winStreak': 1}
Stephen Thompson,{'elo': 1379.0108436716944, 'winStreak': 0}
André Muniz,{'elo': 1378.720453749837, 'winStreak': 1}
Germaine De Randamie,{'elo': 1377.3373692775317, 'winStreak': 0}
Katlyn Chookagian,{'elo': 1377.2270352076398, 'winStreak': 0}
Carla Esparza,{'elo': 1377.0686626016893, 'winStreak': 0}
Miranda Maverick,{'elo': 1376.170544334864, 'winStreak': 4}
