Name,Elo,WinStreak,LastFight
Luke Rockhold,1291.3009580833254,0,2022-08-20
Jeff Molina,1290.7675576353095,3,2022-06-04
Pat Miletich,1290.0656141945376,0,2002-03-22
Askar Askarov,1289.9632897722627,0,2022-03-26
Abusupiyan Magomedov,1289.7761203609616,0,2025-10-04
Rafael Dos Anjos,1289.737889376368,0,2024-10-26
Jimmie Rivera,1289.7010657392345,0,2021-02-27
Jared Rosholt,1289.3396240774637,0,2016-02-06
Bryan Caraway,1289.1468895115054,0,2018-11-30
Justin Willis,1289.126134887418,0,2019-03-23
Alonzo Menifield,1288.955181334743,0,2025-11-22
Kevin Holland,1288.8888237539165,0,2025-10-18
Robbie Lawler,1288.552394096319,1,2023-07-08
Piera Rodríguez,1287.9403135751445,2,2025-08-02
Cub Swanson,1287.9047320786615,1,2024-12-14
Rich Franklin,1287.8467617361093,0,2012-11-10
Diego Brandao,1287.439849558499,3,2015-09-27
Dan Hardy,1287.405633030889,2,2012-09-29
Joanna Jędrzejczyk,1287.2676103831998,0,2022-06-12
Mark Bocek,1286.9015493580328,1,2014-04-16
Alexander Romanov,1286.8142550199004,1,2024-11-02
Jun Yong Park,1286.7904180174285,2,2022-10-29
Shane Carwin,1286.4915362298252,0,2011-06-11
Irene Aldana,1286.3664922088603,0,2024-09-14
Matt Lindland,1286.3576479984401,2,2005-08-20
André Lima,1286.3382160341735,4,2025-03-15
Aaron Simpson,1286.3087677860317,0,2012-10-05
Al Iaquinta,1285.9933364898366,0,2021-11-06
Rinya Nakamura,1285.4493753066715,1,2025-08-02
Dennis Siver,1285.428272106799,1,2017-06-25
Nikita Krylov,1285.2072803193926,0,2025-07-26
Taylor Lapilus,1285.0254230168075,2,2024-09-28
Ko Seok-Hyun,1285.0063180023692,2,2025-11-01
Veronica Hardy,1284.9544997783555,1,2025-10-04
Jamahal Hill,1284.9513116081569,0,2025-06-21
Fatima Kline,1284.9243022331123,3,2025-11-15
Lorenz Larkin,1284.5740200453315,2,2016-08-20
Frankie Edgar,1284.3509712005687,0,2022-11-12
Johny Hendricks,1283.8091129486252,0,2017-11-04
Luana Santos,1283.5791448416444,1,2025-05-17
Said Nurmagomedov,1283.496316686609,0,2025-07-26
Jussier Formiga,1283.1762883350038,0,2020-06-06
Mick Parkin,1283.0862616766256,0,2025-03-22
Yushin Okami,1282.9557186811653,0,2018-12-02
Marcos Rogério De Lima,1282.6974841122437,1,2024-02-17
Sam Hughes,1282.6057468019064,3,2025-09-06
Matt Mitrione,1282.4447747570266,0,2016-01-17
Julian Erosa,1282.2281665886135,0,2025-05-17
Muhammad Naimov,1282.193046013087,0,2025-12-06
Tim Elliott,1282.1847212231526,2,2025-08-16
Michał Oleksiejczuk,1281.891263899902,2,2025-08-16
Marquel Mederos,1281.8041111827108,3,2025-06-07
Joanderson Brito,1281.5389472989673,0,2025-04-05
Stephen Thompson,1281.101702949531,0,2025-07-12
Punahele Soriano,1281.0525439290413,3,2025-10-04
Dan Ige,1280.9859411062948,0,2025-07-19
Michael Johnson,1280.9482273424496,3,2025-07-19
David Martínez,1280.9084846266614,2,2025-09-13
Karol Rosa,1280.6507494456396,1,2025-08-02
Jared Gordon,1280.607739826214,0,2025-09-13
Zhang Mingyang,1280.4389131510586,0,2025-08-23
Alexia Thainara,1280.0483334424566,2,2025-09-28
Chael Sonnen,1279.8817261920894,0,2013-11-16
Darren Till,1279.609079493369,0,2022-12-10
Jean Matsumoto,1278.7198152032443,1,2025-08-09
Matt Hamill,1278.5050368261777,0,2013-10-09
Eduarda Moura,1278.4630491312626,2,2025-07-12
Santiago Ponzinibbio,1278.3555483468808,0,2025-05-03
Jack Hermansson,1278.3108333663272,0,2025-11-22
Jorge Masvidal,1278.2784511571874,0,2023-04-08
Park Jun-Yong,1277.9347578666493,0,2025-10-25
Ateba Abega Gautier,1277.4311700349367,2,2025-10-04
Michael Mcdonald,1277.2892480595028,0,2016-07-13
Yana Santos,1277.0534235352204,3,2025-10-04
Kyler Phillips,1276.8804588384787,0,2025-07-19
Mário Pinto,1276.784468658118,2,2025-10-11
Ryan Spann,1276.7179405447557,1,2025-07-19
Jaqueline Amorim,1276.7162009530753,0,2025-10-25
Francis Carmont,1276.6022643681497,0,2014-08-23
Desmond Green,1276.579521774905,2,2019-05-18
Cláudia Gadelha,1276.4360664528838,0,2020-11-07
John Moraga,1276.4160098078082,0,2018-08-25
Elizeu Zaleski Dos Santos,1276.2952802077116,0,2025-08-02
Pedro Rizzo,1275.8651986340747,2,2003-11-21
Casey Kenney,1275.3857707142806,0,2021-08-07
Stevie Ray,1275.233421618117,1,2019-10-26
Kevin Vallejos,1275.0817127344228,2,2025-08-02
Kyle Daukaus,1274.6416882223236,2,2025-11-15
Yadier Del Valle,1274.482471346832,2,2025-11-01
Stephan Bonnar,1274.3722195790638,0,2012-10-13
Alan Jouban,1274.1447782353623,1,2020-11-21
Marvin Vettori,1274.1011204173512,0,2025-12-06
Chris Wade,1274.016392060675,1,2017-07-22
Loma Lookboonmee,1273.8638064326656,0,2025-09-28
Nate Quarry,1273.830287072628,0,2010-03-31
Kyle Nelson,1273.7916169925554,1,2025-10-18
Mizuki Inoue,1273.5324251353463,2,2025-10-25
Aleksandre Topuria,1272.877434961846,2,2025-11-22
Jacobe Smith,1272.3873839998698,2,2025-06-28
Kauê Fernandes,1272.090893695746,3,2025-09-06
Leonardo Santos,1272.0799537869814,0,2022-08-20
Talita Alencar,1271.402381817933,2,2025-11-01
Bruno Gustavo Da Silva,1271.2553157376942,1,2025-10-18
Nick Ring,1271.1139164816027,0,2013-12-07
Mike Pierce,1269.9288876971102,0,2015-12-11
Adlan Amagov,1269.8549410455594,2,2013-10-19
Jimmy Crute,1269.7058760654897,2,2025-09-28
Jens Pulver,1269.1918989312935,0,2007-06-23
Tecia Torres,1269.030865286533,0,2022-04-09
Ray Borg,1269.0036852133444,0,2020-05-13
Ramazan Temirov,1268.960877316681,2,2025-03-01
John Dodson,1268.8209658311864,0,2020-08-15
Khaos Williams,1268.0715316072108,0,2025-06-07
Jake Shields,1267.8114663923798,0,2014-03-15
Li Jingliang,1267.6722918842843,0,2024-08-18
Mike Swick,1267.4752726953063,0,2015-07-11
Choi Doo-Ho,1267.3076048294527,2,2024-12-07
Kevin Souza,1266.6233547787792,0,2015-11-07
Oumar Sy,1266.5900334538887,1,2025-09-06
Don Madge,1266.0462036249949,2,2019-09-07
Victor Henry,1265.9159217213157,1,2025-04-05
Jon Madsen,1265.7884797423712,0,2011-03-26
Mark Muñoz,1265.1273879648709,1,2015-05-16
Ronaldo Souza,1265.0927459850566,0,2021-05-15
Arjan Bhullar,1264.2181196144738,2,2019-05-04
Drew Dober,1264.140852568217,1,2025-10-18
Anton Kuivanen,1263.9716714353056,0,2013-02-23
Albert Tumenov,1263.9125442448778,0,2016-10-08
Jesús Santos Aguilar,1263.8455166945882,1,2025-09-13
Enrique Barzola,1263.4303684884255,0,2020-03-14
Aleksandar Rakić,1263.388836706583,0,2025-10-25
Kurt Pellegrino,1263.3237567433966,0,2011-03-19
Murilo Bustamante,1263.2482477168944,2,2002-05-10
Mark Hall,1262.995470984582,4,1996-12-07
Davey Grant,1262.9135997562305,0,2025-10-18
Luis Peña,1262.7685069887548,1,2021-04-17
Brock Lesnar,1262.5032241292447,0,2016-07-09
Ricardo Almeida,1262.463407965509,0,2011-03-19
Renato Sobral,1262.208160019438,1,2007-08-25
Ismail Naurdiev,1262.16739428613,1,2025-11-22
Paul Daley,1262.1217414056298,0,2010-05-08
Roman Kopylov,1262.0364785212462,0,2025-11-15
Maurício Ruffy,1262.015294297778,0,2025-09-06
Don Frye,1261.6738881832405,1,1996-12-07
Chris Holdsworth,1261.1271318439071,2,2014-05-24
Jamall Emmers,1261.0693926371493,2,2025-11-08
Dean Lister,1261.032565015262,0,2008-12-27
Michael Graves,1261.0291650565123,0,2016-07-30
Tom Breese,1260.9143520841978,0,2021-01-20
Tim Kennedy,1260.3043153367707,0,2016-12-10
Royce Gracie,1259.7819118850532,0,2006-05-27
Jj Aldrich,1259.7476975049058,1,2025-03-01
Nik Lentz,1259.114077341085,0,2021-01-24
Ben Rothwell,1258.7993077257827,0,2021-11-13
Ricco Rodriguez,1258.660148231013,0,2003-11-21
Karo Parisyan,1258.4588988536746,0,2010-11-20
Lucas Martins,1258.4525251005696,1,2016-04-10
Alberto Mina,1258.371270175419,0,2018-05-12
Adrian Yañez,1258.3493933844716,0,2024-12-14
Terrance Mckinney,1257.9524721562163,0,2025-12-06
Marlon Moraes,1257.4793059963563,0,2022-03-12
Cody Garbrandt,1257.4715944843686,0,2025-06-14
Da'Mon Blackshear,1257.2655549411406,0,2025-07-26
Elijah Smith,1257.154643057026,2,2025-08-09
Sara Mcmann,1256.800122662688,1,2022-03-26
Darren Elkins,1256.7361918645593,0,2025-04-12
Jeremy Kennedy,1256.6807349640173,0,2018-02-11
Shamil Gaziev,1256.2941673378195,0,2025-11-22
Claude Patrick,1256.2765408622126,0,2011-12-10
Dan Henderson,1256.2009221973003,0,2016-10-08
Sérgio Moraes,1256.0524743180445,0,2019-11-16
Jordan Mein,1255.7496269959893,2,2018-07-28
Joaquim Silva,1255.6883238296175,1,2025-09-13
Jafel Filho,1255.4462715810957,1,2025-10-11
Philipe Lins,1255.4376015829996,4,2024-03-09
Magnus Cedenblad,1254.8362743771456,0,2016-11-19
Andre Fili,1254.5981051224514,1,2025-08-09
Caio Magalhães,1254.1926015593524,0,2016-09-10
Davi Ramos,1253.8410941767934,0,2020-07-19
César Almeida,1253.538280942543,2,2025-01-11
Fabio Maldonado,1253.3787565697628,2,2013-10-09
Cameron Rowston,1253.3326843705493,1,2025-09-28
Wang Cong,1253.2381022259203,2,2025-06-07
André Muniz,1253.106290774178,0,2025-10-04
Costas Philippou,1253.0902610377277,0,2015-05-16
Alex Caceres,1252.772074206823,0,2024-05-11
Edson Barboza,1252.3189885354734,0,2025-12-06
